Filename,0% Removed,1% Removed,2% Removed,5% Removed,10% Removed,25% Removed,50% Removed
p-0-bucket_s10,0.03844981193542481,0.024381208419799804,0.020219802856445312,0.014989805221557618,0.01958012580871582,0.011408567428588867,0.006668758392333984
p-0-bucket_s13,0.22666587829589843,0.029448890686035158,0.03391795158386231,0.024210214614868164,0.019661951065063476,0.014948463439941407,0.009411811828613281
p-0-bucket_s7,0.017165517807006835,0.013797807693481445,0.011247396469116211,0.008814287185668946,0.008176946640014648,0.0066131591796875,0.004444122314453125
p-1-bucket_s9,0.514535665512085,0.08712897300720215,0.07504420280456543,0.06873793601989746,0.05992798805236817,0.0468998908996582,0.028447723388671874
p-2-bucket_s11,0.3080903053283691,0.04014120101928711,0.041174125671386716,0.03607649803161621,0.03141283988952637,0.023578405380249023,0.015394878387451173
p-3-bucket_s10,3.5366875171661376,0.10786204338073731,0.05982770919799805,0.05423288345336914,0.0462310791015625,0.03871941566467285,0.023430442810058592
p-DepotsNum_s8.msat,0.00013222694396972657,0.0001239776611328125,0.00012416839599609374,0.00012154579162597657,0.0001235485076904297,0.00012984275817871094,0.00012216567993164062
p-driverlogNumeric_s7,0.005831193923950195,0.005267429351806641,0.0052373409271240234,0.005248403549194336,0.0048561573028564455,0.004021453857421875,0.0028276443481445312
p2-driverlogNumeric_s10,0.2517822265625,0.025220632553100586,0.025515413284301756,0.02353367805480957,0.021211767196655275,0.018015432357788085,0.011463499069213868
p2-zenonumeric_s6,0.00764923095703125,0.007876443862915038,0.007313728332519531,0.0067919731140136715,0.006726455688476562,0.005868768692016602,0.003917074203491211
p3-driverlogNumeric_s8,0.015120649337768554,0.01906929016113281,0.015321779251098632,0.01437077522277832,0.013546895980834962,0.011324024200439453,0.007322120666503906
p3-zenonumeric_s5,0.01336374282836914,0.013593053817749024,0.014130353927612305,0.013695240020751953,0.012994670867919922,0.010627651214599609,0.007774257659912109
p4-driverlogNumeric_s8,0.0404869556427002,0.02619900703430176,0.02510490417480469,0.02373347282409668,0.02256922721862793,0.018137598037719728,0.011845636367797851
p4-zenonumeric_s5,0.016096162796020507,0.016382265090942382,0.014985227584838867,0.015024614334106446,0.014147567749023437,0.012835025787353516,0.008973646163940429
p5-driverlogNumeric_s8,0.14592480659484863,0.03682794570922852,0.03612627983093262,0.03427081108093262,0.0323390007019043,0.02593708038330078,0.016797971725463868
p5-driverlogNumeric_s9,0.042973899841308595,0.03802657127380371,0.0352419376373291,0.03515501022338867,0.031342601776123045,0.02617473602294922,0.016385555267333984
p5-zenonumeric_s5,0.029999399185180665,0.03361392021179199,0.02754039764404297,0.02631664276123047,0.024898719787597657,0.020920467376708985,0.015453481674194336
p5-zenonumeric_s7,0.1993403434753418,0.049522924423217776,0.04419684410095215,0.04671611785888672,0.04507203102111816,0.0371147632598877,0.025104618072509764
p6-driverlogNumeric_s5,0.009459733963012695,0.010623645782470704,0.010833358764648438,0.010363626480102538,0.009746742248535157,0.008257770538330078,0.0054782390594482425
p6-zenonumeric_s5,0.030531024932861327,0.03234620094299316,0.030649518966674803,0.028043746948242188,0.032133960723876955,0.024463367462158204,0.017041635513305665
p6-zenonumeric_s7,0.22014856338500977,0.05156540870666504,0.0505671501159668,0.04833521842956543,0.04802484512329101,0.04200015068054199,0.028629016876220704
p6-zenonumeric_s9,0.6736364364624023,0.21530184745788575,0.09373936653137208,0.07212400436401367,0.07510395050048828,0.06756577491760254,0.043529844284057616
p7-driverlogNumeric_s7,0.2800837516784668,0.04240827560424805,0.04205141067504883,0.0406461238861084,0.03806915283203125,0.03394737243652344,0.020931577682495116
p7-driverlogNumeric_s8,0.04249753952026367,0.04635124206542969,0.04347453117370605,0.0422731876373291,0.0404658317565918,0.032878971099853514,0.021029233932495117
p7-zenonumeric_s6,0.07999949455261231,0.04650726318359375,0.04672751426696777,0.043617773056030276,0.04300684928894043,0.03839864730834961,0.02608213424682617
